Designator,Val,Package,MidX,MidY,Rotation,Layer
D1,LED_RGBA,LED_RGBA1.6mm,-12.5,-60.5,90,top
D1,LED_RGBA,LED_RGBA1.6mm,-12.5,-28.5,90,top
D1,LED_RGBA,LED_RGBA1.6mm,4.5,-60.5,90,top
D1,LED_RGBA,LED_RGBA1.6mm,4.5,-28.5,90,top
Q1,MMBT3904,SOT-23_Handsoldering,-18,-26.75,90,top
Q1,MMBT3904,SOT-23_Handsoldering,-1,-58.75,90,top
Q1,MMBT3904,SOT-23_Handsoldering,-18,-58.75,90,top
Q1,MMBT3904,SOT-23_Handsoldering,-1,-26.75,90,top
Q2,MMBT3906,SOT-23_Handsoldering,-7,-26.75,90,top
Q2,MMBT3906,SOT-23_Handsoldering,10,-26.75,90,top
Q2,MMBT3906,SOT-23_Handsoldering,-7,-58.75,90,top
Q2,MMBT3906,SOT-23_Handsoldering,10,-58.75,90,top
R1,100K,R_0603_1608Metric,-8,-4.7,180,top
R1,100K,R_0603_1608Metric,9,-4.7,180,top
R1,100K,R_0603_1608Metric,-8,-36.7,180,top
R1,100K,R_0603_1608Metric,9,-36.7,180,top
R2,100K,R_0603_1608Metric,-17,-4.7,0,top
R2,100K,R_0603_1608Metric,0,-4.7,0,top
R2,100K,R_0603_1608Metric,-17,-36.7,0,top
R2,100K,R_0603_1608Metric,0,-36.7,0,top
R3,300K,R_0603_1608Metric,9,-8,180,top
R3,300K,R_0603_1608Metric,-8,-40,180,top
R3,300K,R_0603_1608Metric,9,-40,180,top
R3,300K,R_0603_1608Metric,-8,-8,180,top
R4,300K,R_0603_1608Metric,0,-8,0,top
R4,300K,R_0603_1608Metric,-17,-40,0,top
R4,300K,R_0603_1608Metric,0,-40,0,top
R4,300K,R_0603_1608Metric,-17,-8,0,top
R5,120,R_0603_1608Metric,-8,-33.5,180,top
R5,120,R_0603_1608Metric,-8,-1.5,180,top
R5,120,R_0603_1608Metric,9,-33.5,180,top
R5,120,R_0603_1608Metric,9,-1.5,180,top
R6,120,R_0603_1608Metric,-17,-33.5,0,top
R6,120,R_0603_1608Metric,0,-1.5,0,top
R6,120,R_0603_1608Metric,-17,-1.5,0,top
R6,120,R_0603_1608Metric,0,-33.5,0,top
